	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
COL11A1	201.7694144	5.047925208	0.533517462	9.461593234	3.03E-21	6.65E-17
CEMIP	345.0423193	3.79020859	0.408591981	9.276267694	1.76E-20	3.85E-16
ADAM12	125.2175799	3.87133401	0.423079505	9.15036999	5.67E-20	1.24E-15
MMP1	402.4490882	5.164842179	0.577209432	8.947951812	3.62E-19	7.94E-15
OTOP3	13.51666882	-5.046069698	0.571174559	-8.834549121	1.01E-18	2.20E-14
INHBA	189.0118595	4.319039926	0.525213267	8.223402189	1.98E-16	4.34E-12
FAP	79.63562776	3.747493491	0.460529068	8.137365803	4.04E-16	8.86E-12
FOXQ1	120.9851506	4.58429824	0.563979069	8.128490024	4.35E-16	9.53E-12
COL10A1	83.78407985	5.415280904	0.684415498	7.912271007	2.53E-15	5.54E-11
CTHRC1	149.813045	3.43423468	0.434216416	7.909039252	2.59E-15	5.69E-11
BEST4	655.4730183	-4.380316537	0.554911058	-7.893727243	2.93E-15	6.43E-11
SLC6A6	532.0836141	2.14560912	0.276180901	7.768854094	7.92E-15	1.74E-10
CYP2B7P	29.7092065	-2.519582405	0.32962025	-7.64389447	2.11E-14	4.62E-10
TREM1	29.32157573	3.412470521	0.449211049	7.596586349	3.04E-14	6.66E-10
PDPN	146.1024005	2.205406243	0.291893553	7.555515428	4.17E-14	9.14E-10
SPIB	315.0730582	-3.386568397	0.449086024	-7.541023804	4.66E-14	1.02E-09
COL8A1	238.9875569	2.786103454	0.369494051	7.540320194	4.69E-14	1.03E-09
TPM4	4086.698477	0.979663082	0.129947834	7.538895052	4.74E-14	1.04E-09
MMP3	173.0695612	5.039911839	0.673502122	7.48314174	7.26E-14	1.59E-09
SULF1	1443.901917	2.511511155	0.340342272	7.37936883	1.59E-13	3.48E-09
EPHX4	18.93117163	4.051407076	0.549050003	7.378940083	1.60E-13	3.50E-09
SFRP4	183.3898486	3.944231722	0.535031975	7.371955143	1.68E-13	3.68E-09
SLC11A1	41.62335963	2.597323213	0.35549714	7.30617189	2.75E-13	6.02E-09
COL1A1	13434.38597	2.880667264	0.399065905	7.218525137	5.26E-13	1.15E-08
DPEP1	1050.123859	4.8484825	0.671924972	7.215809357	5.36E-13	1.17E-08
ADAMTS12	142.7151977	2.928843675	0.406671654	7.201986293	5.93E-13	1.30E-08
CA7	562.1403317	-4.043460211	0.561633917	-7.199458732	6.05E-13	1.32E-08
MFAP2	69.80848693	2.348169662	0.326291672	7.196535693	6.18E-13	1.35E-08
ANOS1	46.50262071	2.519705181	0.351240724	7.173727325	7.30E-13	1.60E-08
ZNF469	61.46860419	2.224115117	0.310068278	7.17298504	7.34E-13	1.61E-08
KIF26B	55.74367703	2.961117296	0.413423505	7.162430928	7.93E-13	1.74E-08
MMP11	464.7163362	3.171252116	0.443774678	7.146086235	8.93E-13	1.96E-08
COL5A2	1524.130466	1.932965194	0.273759135	7.060824448	1.66E-12	3.62E-08
ADAMTS6	17.44144462	1.980701335	0.283059391	6.997476147	2.61E-12	5.71E-08
FIBIN	69.68352382	2.071023662	0.297959933	6.950678362	3.64E-12	7.96E-08
NDUFA6-DT	24.11541357	-1.091779016	0.15801735	-6.909235051	4.87E-12	1.07E-07
PLAU	302.0219382	1.834405299	0.265540536	6.908193091	4.91E-12	1.07E-07
CXCL8	249.3148888	3.107067323	0.4498244	6.907289427	4.94E-12	1.08E-07
MDFI	58.1939354	2.698197845	0.392933525	6.866804884	6.57E-12	1.44E-07
ANGPT2	68.98770336	2.023067653	0.294687196	6.865135907	6.64E-12	1.45E-07
ABCG2	212.059921	-2.662400898	0.388532478	-6.852453902	7.26E-12	1.59E-07
SLCO4A1	195.8251604	2.471929248	0.361434336	6.839220848	7.96E-12	1.74E-07
WNT2	37.76182488	4.757172169	0.698929985	6.806364407	1.00E-11	2.19E-07
TGFBI	2238.587584	1.958075167	0.288311845	6.791518274	1.11E-11	2.43E-07
TRIM29	263.2279899	3.339142706	0.491664206	6.791510683	1.11E-11	2.43E-07
PMAIP1	60.09458556	1.511585382	0.222643954	6.789249618	1.13E-11	2.47E-07
RCN1	261.5083684	1.154925904	0.17029815	6.78178774	1.19E-11	2.60E-07
MAPK15	45.85684365	2.719752734	0.402774605	6.752542733	1.45E-11	3.18E-07
PRDX6	2085.29697	-1.01121835	0.150361339	-6.725255034	1.75E-11	3.84E-07
TNFRSF12A	167.7047407	2.286753425	0.341359396	6.698961431	2.10E-11	4.59E-07
TTYH3	972.3718898	1.343659161	0.2009511	6.686498176	2.29E-11	5.00E-07
STC1	65.31036616	2.396077801	0.359312394	6.668508639	2.58E-11	5.65E-07
CA9	53.35793832	4.013260401	0.602301635	6.663206883	2.68E-11	5.86E-07
PHLPP2	637.1598871	-1.677255699	0.252393389	-6.645402667	3.02E-11	6.62E-07
AQP9	17.68552047	2.388030265	0.360920389	6.616501415	3.68E-11	8.05E-07
